VSS,GROUP_NAME_ABB,NAME_DESC_KR,NAME_DESC,CONTROLLER,DID,BYTE_ORDER,LENGTH_BIT,SCALE,OFFSET,MIN,MAX,UNIT,START,VALUE_TYPE,VALUE_TABLE,MEMORY_ADDR
Mch.Diag.Ver.IsotpEncoder,,,1.11.1,,,,,,,,,,,,,
Mch.Diag.VhcInf.PtcolVers,VhcInf,PtcolVers,PtcolVers,MCU,0x1DD,Motorola,16,1,0,0,65535,,0,uint16,,
Mch.Diag.VhcInf.VhcType,VhcInf,VehClass,VhcType,MCU,0x1DD,Motorola,16,1,0,0,65535,,16,uint16,,
Mch.Diag.VhcInf.Ton1,VhcInf,1자리 톤수,Ton1,MCU,0x1DD,Motorola,4,1,0,0,15,,32,uint8,,
Mch.Diag.VhcInf.Ton10,VhcInf,10자리 톤수,Ton10,MCU,0x1DD,Motorola,4,1,0,0,15,,36,uint8,,
Mch.Diag.VhcInf.EcuMaker1,VhcInf,ECU 메이커,EcuMaker1,MCU,0x1DD,Motorola,3,1,0,0,7,,40,uint8,,
Mch.Diag.VhcInf.PmpType1,VhcInf,펌프 타입,PmpType1,MCU,0x1DD,Motorola,1,1,0,0,1,,43,uint8,,
Mch.Diag.VhcInf.PmpCtrlType1,VhcInf,펌프 제어 방식,PmpCtrlType1,MCU,0x1DD,Motorola,2,1,0,0,3,,44,uint8,,
Mch.Diag.VhcInf.TrvlType,VhcInf,주행 방식,TrvlType,MCU,0x1DD,Motorola,1,1,0,0,1,,46,uint8,,
Mch.Diag.VhcInf.TmsSt,VhcInf,TMS 탑재,TmsSt,MCU,0x1DD,Motorola,1,1,0,0,1,,47,uint8,,
Mch.Diag.VhcInf.McvType1,VhcInf,MCV 타입,McvType1,MCU,0x1DD,Motorola,1,1,0,0,1,,48,uint8,,
Mch.Diag.VhcInf.McvCtrlType1,VhcInf,MCV 제어 방식,McvCtrlType1,MCU,0x1DD,Motorola,2,1,0,0,3,,49,uint8,,
Mch.Diag.VhcInf.ContinentClfc,VhcInf,대륙 구분,ContinentClfc,MCU,0x1DD,Motorola,3,1,0,0,7,,51,uint8,,
Mch.Diag.VhcInf.VhcType1,VhcInf,차량 타입,VhcType,MCU,0x1DD,Motorola,2,1,0,0,3,,54,uint8,,
Mch.Diag.VhcInf.VhcModel,VhcInf,차량 모델 세대,VhcModel,MCU,0x1DD,Motorola,4,1,0,0,15,,56,uint8,,
Mch.Diag.VhcInf.EmsReg,VhcInf,배기 규제,EmsReg,MCU,0x1DD,Motorola,4,1,0,0,15,,60,uint8,,
Mch.Diag.VhcInf.VcuSwVer,VhcInf,VCU Software Version,VcuSwVer,MCU,0x1DD,Motorola,16,1,0,0,65535,,64,uint16,,
Mch.Diag.VhcInf.GpSwVer,VhcInf,Gauge Panel Software Version,GpSwVer,MCU,0x1DD,Motorola,16,1,0,0,65535,,80,uint16,,
Mch.Diag.VhcInf.RomVer,VhcInf,Font ROM Version,RomVer,MCU,0x1DD,Motorola,16,1,0,0,65535,,96,uint16,,
Mch.Diag.VhcInf.EmsCtrl,VhcInf,Emission Control,EmsCtrl,MCU,0x1DD,Motorola,8,1,0,0,255,,112,uint8,,
Mch.Diag.VhcInf.MchGenr,VhcInf,Machine Generation,MchGenr,MCU,0x1DD,Motorola,8,1,0,0,255,,120,uint8,,
Mch.Diag.VhcInf.MchClfc,VhcInf,Machine Classification,MchClfc,MCU,0x1DD,Motorola,16,1,0,0,65535,,128,uint16,,
Mch.Diag.VhcInf.MchType,VhcInf,Machine Type,MchType,MCU,0x1DD,Motorola,4,1,0,0,15,,144,uint8,,
Mch.Diag.VhcInf.ModelYearVer,VhcInf,Model Year Version,ModelYearVer,MCU,0x1DD,Motorola,4,1,0,0,15,,148,uint8,,
Mch.Diag.VhcInf.EgMaker,VhcInf,Engine Maker,EgMaker,MCU,0x1DD,Motorola,4,1,0,0,15,,152,uint8,,
Mch.Diag.VhcInf.EcuMaker,VhcInf,ECU Maker,EcuMaker2,MCU,0x1DD,Motorola,4,1,0,0,15,,156,uint8,,
Mch.Diag.VhcInf.PmpType2,VhcInf,Pump Type,PmpType2,MCU,0x1DD,Motorola,4,1,0,0,15,,160,uint8,,
Mch.Diag.VhcInf.PmpCtrlType2,VhcInf,Pump Control Type,PmpCtrlType2,MCU,0x1DD,Motorola,4,1,0,0,15,,164,uint8,,
Mch.Diag.VhcInf.McvType2,VhcInf,MCV Type,McvType2,MCU,0x1DD,Motorola,4,1,0,0,15,,168,uint8,,
Mch.Diag.VhcInf.McvCtrlType2,VhcInf,MCV Control Type,McvCtrlType2,MCU,0x1DD,Motorola,4,1,0,0,15,,172,uint8,,
Mch.Diag.VhcInf.JoyType,VhcInf,Joystick Type,JoyType,MCU,0x1DD,Motorola,4,1,0,0,15,,176,uint8,,
Mch.Diag.VhcInf.MissionType,VhcInf,Mission Type,MissionType,MCU,0x1DD,Motorola,4,1,0,0,15,,180,uint8,,
Mch.Diag.VhcInf.SalesRegion,VhcInf,Sales Region,SalesRegion,MCU,0x1DD,Motorola,8,1,0,0,255,,184,uint8,,
Mch.Diag.VhcInf.MchMaker,VhcInf,Machine Maker,MchMaker,MCU,0x1DD,Motorola,8,1,0,0,255,,192,uint8,,
Mch.Diag.VhcInf.EcuMaker2,VhcInf,ECU Maker2,EcuMaker2,MCU,0x1DD,Motorola,8,1,0,0,255,,200,uint8,,
Mch.Diag.PmpPrs.FrPmpPrs,PmpPrs,아날로그 입력 - 펌프압력,FrontPumpPressure,MCU,0x101,Motorola,16,0.0625,0,0,500,bar,0,uint16,,
Mch.Diag.PmpPrs.RrPmpPrs,PmpPrs,아날로그 입력 - 펌프압력,RearPumpPressure,MCU,0x101,Motorola,16,0.0625,0,0,500,bar,16,uint16,,
Mch.Diag.PmpAng.FrPmpAng,PmpAng,아날로그 입력 - 펌프 Angle,FrontPumpAngle,MCU,0x102,Motorola,16,1,0,0,5000,mV,0,uint16,,
Mch.Diag.PmpAng.RrPmpAng,PmpAng,아날로그 입력 - 펌프 Angle,RearPumpAngle,MCU,0x102,Motorola,16,1,0,0,5000,mV,16,uint16,,
Mch.Diag.PltPrs.PltBoomDn,PltPrs,붐 다운 압력,PilotBoomDown,MCU,0x103,Motorola,16,0.003906,0,0,50,bar,16,uint16,,
Mch.Diag.PltPrs.PltArmIn,PltPrs,암 크라우드 압력,PilotArmIn,MCU,0x103,Motorola,16,0.003906,0,0,50,bar,32,uint16,,
