NAME,DESC,VALUE
BOOL,FALSE,0
BOOL,TRUE,1
BOOL,ERROR,2
BOOL,NOT_AVAILABLE,3
PWRDNCMD,NOT_REQUEST,0
PWRDNCMD,NORMAL_POWER_DOWN,1
PWRDNCMD,EMERGENCY_POWER_DOWN,2
PWRDNCMD,NOT_AVAILABLE,3
OFFON,OFF,0
OFFON,ON,1
OFFON,ERROR,2
OFFON,NOT_AVAILABLE,3
NONEOFFON,NONE,0
NONEOFFON,OFF,1
NONEOFFON,ON,2
NONEOFFON,NOT_AVAILABLE,3
MACHINESTATUS,KEY_OFF,0
MACHINESTATUS,KEY_ON,1
MACHINESTATUS,KEY_OFF_CHARGING,2
MACHINESTATUS,NOT_AVAILABLE,3
CHARGINGSTATUS,CHARGING,0
CHARGINGSTATUS,CHARGING_PORT_WARNING,1
CHARGINGSTATUS,CHARGING_GUN_WARNING,2
CHARGINGSTATUS,AC_VOLTAGE_ABOVE_NORMAL,3
CHARGINGSTATUS,AC_VOLTAGE_BELOW_NORMAL,4
CHARGINGSTATUS,EVSE_SIGNOT_AVAILABLEL_WARNING,5
WRNLAMP,OFF,0
WRNLAMP,ON,1
WRNLAMP,BLINKING,2
WRNLAMP,SLOW_BLINKING,3
WRNLAMPTXT,OFF,0
WRNLAMPTXT,ON_TEXT1,1
WRNLAMPTXT,BLINKING_TEXT1,2
WRNLAMPTXT,SLOW_BLINKING_TEXT1,3
WRNLAMPTXT,NOT_DEFINED1,4
WRNLAMPTXT,ON_TEXT3,5
WRNLAMPTXT,BLINKING_TEXT3,6
WRNLAMPTXT,SLOW_BLINKING_TEXT3,7
WRNLAMPTXT,NOT_DEFINED2,8
WRNLAMPTXT,ON_TEXT2,9
WRNLAMPTXT,BLINKING_TEXT2,10
WRNLAMPTXT,SLOW_BLINKING_TEXT2,11
WRNLAMPTXT,NOT_DEFINED3,12
WRNLAMPTXT,ON_TEXT4,13
WRNLAMPTXT,BLINKING_TEXT4,14
WRNLAMPTXT,SLOW_BLINKING_TEXT4,15
ANTDETECT,NORMAL,0
ANTDETECT,REMOVAL,1
ANTDETECT,SHORTED,2
TRVMODECR,LOW_SPEED,0
TRVMODECR,HIGH_SPEED,1
TRVMODECR,AUTO_SPEED,2
TRVMODECR,NOT_AVAILABLE,3
