VSS,Type,Desc,DataType,Unit,Min,Max,ValueTable,Allowed,Default,Comment,Hashed,Deprecated
Mch.TGU.Ver.VssVer,sensor,1.11.2,,,,,,,,,,
Mch.TGU.Ver.DbcVer,sensor,1.11.2,,,,,,,,,,
Mch,branch,,,,,,,,,,,
Mch.MCU.MPI,branch,,,,,,,,,,,
Mch.TGU.SOFT,branch,,,,,,,,,,,
Mch.ECU.SOFT,branch,,,,,,,,,,,
Mch.TCU,branch,,,,,,,,,,,
Mch.BRK,branch,,,,,,,,,,,
Mch.ESP,branch,,,,,,,,,,,
Mch.MCU,branch,,,,,,,,,,,
Mch.RDD,branch,,,,,,,,,,,
Mch.GP,branch,,,,,,,,,,,
Mch.TMS,branch,,,,,,,,,,,
Mch.GW,branch,,,,,,,,,,,
Mch.KPD1,branch,,,,,,,,,,,
Mch.RDE,branch,,,,,,,,,,,
Mch.FNR,branch,,,,,,,,,,,
Mch.ECU,branch,,,,,,,,,,,
Mch.KPD2,branch,,,,,,,,,,,
Mch.ATSGO,branch,,,,,,,,,,,
Mch.ACU,branch,,,,,,,,,,,
Mch.IMU1,branch,,,,,,,,,,,
Mch.IMU2,branch,,,,,,,,,,,
Mch.IMU3,branch,,,,,,,,,,,
Mch.IMU4,branch,,,,,,,,,,,
Mch.IMU5,branch,,,,,,,,,,,
Mch.AGW,branch,,,,,,,,,,,
Mch.PMI,branch,,,,,,,,,,,
Mch.HDOQS,branch,,,,,,,,,,,
Mch.EGOQS,branch,,,,,,,,,,,
Mch.OBC,branch,,,,,,,,,,,
Mch.EEC,branch,,,,,,,,,,,
Mch.CBSW,branch,,,,,,,,,,,
Mch.EJRH,branch,,,,,,,,,,,
Mch.EJLH,branch,,,,,,,,,,,
Mch.EPDLT,branch,,,,,,,,,,,
Mch.EPDL2,branch,,,,,,,,,,,
Mch.EPDLR,branch,,,,,,,,,,,
Mch.EPDLA,branch,,,,,,,,,,,
Mch.TRBDZ,branch,,,,,,,,,,,
Mch.ECU1,branch,,,,,,,,,,,
Mch.CLST,branch,,,,,,,,,,,
Mch.LC510,branch,,,,,,,,,,,
Mch.EGDL,branch,,,,,,,,,,,
Mch.JS,branch,,,,,,,,,,,
Mch.SMB,branch,,,,,,,,,,,
Mch.KPAC,branch,,,,,,,,,,,
Mch.ACCU,branch,,,,,,,,,,,
Mch.Audio,branch,,,,,,,,,,,
Mch.TGU,branch,,,,,,,,,,,
Mch.RDRR,branch,,,,,,,,,,,
Mch.RDLH,branch,,,,,,,,,,,
Mch.RDRH,branch,,,,,,,,,,,
Mch.AVM,branch,,,,,,,,,,,
Mch.CHMSL,branch,,,,,,,,,,,
Mch.CTC,branch,,,,,,,,,,,
Mch.SMK,branch,,,,,,,,,,,
Mch.EVC,branch,,,,,,,,,,,
Mch.MCU2,branch,,,,,,,,,,,
Mch.PHM,branch,,,,,,,,,,,
