slot_id,factor,offset,min,max,unit,description,vss_unit,vss_a,vss_b
1,5.0,0.0,0.0,1250.0,kPa,SAEpr11 (Pressure),Pa,1000.0,0.0
2,8.0,0.0,0.0,2000.0,kPa,SAEpr13 (Pressure),Pa,1000.0,0.0
3,1.0,0.0,0.0,250.0,h,SAEtm11 (Time),s,3600.0,0.0
4,1.0,-125.0,-125.0,125.0,h,SAEtm10 (Time),s,3600.0,0.0
5,1.0,-32127.0,-32127.0,32128.0,h,SAEtm12 (Time),s,3600.0,0.0
6,1.0,0.0,0.0,4211081215.0,s,SAEtm06 (Time),s,1.0,0.0
7,1e-07,-210.0,-210.0,211.1081215,°,SAEad01 (Angle/Direction),degree,1.0,0.0
8,0.0078125,-200.0,-200.0,301.99,°,SAEad04 (Angle/Direction),degree,1.0,0.0
11,1.0,-125.0,-125.0,125.0,°,SAEad06 (Angle/Direction),degree,1.0,0.0
12,1.0,0.0,0.0,64255.0,,SAEct04 (Count),,1.0,0.0
13,0.1,-3200.0,-3200.0,3225.5,mm,SAEds03 (Distance),m,0.001,0.0
14,0.1,0.0,0.0,6425.5,mm,SAEds04 (Distance),m,0.001,0.0
15,1.0,-125.0,-125.0,125.0,m,SAEds08 (Distance),m,1.0,0.0
17,0.001953125,0.0,0.0,125.498046875,km,SAEeg01 (Economy; gaseous),m,1000.0,0.0
18,0.05,0.0,0.0,3212.75,kg,SAEfg01 (Flow rate; gaseous),kg,1.0,0.0
20,0.5,0.0,0.0,2105540607.5,l,SAEful01 (Fuel Used; liquid),l,1.0,0.0
21,0.5,0.0,0.0,2105540607.5,kg,SAEfug01 (Fuel Used; gaseous),kg,1.0,0.0
23,0.01,0.0,0.0,642.55,,SAEgr01 (Gear Ratio),,1.0,0.0
26,1.0,0.0,0.0,250.0,mm²,SAEkv01 (Kinematic viscosity),mm²,1.0,0.0
27,0.5,0.0,0.0,32127.5,kg,SAEma11 (Mass),kg,1.0,0.0
28,2.0,0.0,0.0,128510.0,kg,SAEma02 (Mass),kg,1.0,0.0
30,0.0025,0.0,0.0,160.6375,%,SAEpc01 (Percent; position/level),percent,1.0,0.0
33,1.0,0.0,0.0,250.0,,SAEre01 (Record),,1.0,0.0
34,1000.0,0.0,0.0,4211081215000.0,,SAErv01 (Revolutions),,1.0,0.0
35,1.0,0.0,0.0,255.0,,SAEsa01 (Source Address),,1.0,0.0
37,5.0,-160635.0,-160635.0,160640.0,km,SAEds11 (Distance),m,1000.0,0.0
38,5.0,0.0,0.0,21055406075.0,m,SAEds09 (Distance),m,1.0,0.0
42,0.05,0.0,0.0,3212.75,l,SAEfl01 (Flow rate; liquid),l,1.0,0.0
43,5.0,0.0,0.0,321275.0,N,SAEfr01 (Force),n,1.0,0.0
44,0.4,0.0,0.0,100.0,%,SAEpc03 (Percent; position/level),percent,1.0,0.0
45,1.0,-125.0,-125.0,125.0,%,SAEpc05 (Percent; position/level),percent,1.0,0.0
46,1.0,0.0,0.0,250.0,%,SAEpc06 (Percent; position/level),percent,1.0,0.0
47,4.0,0.0,0.0,1000.0,kPa,SAEpr10 (Pressure),Pa,1000.0,0.0
48,0.05,0.0,0.0,12.5,kPa,SAEpr02 (Pressure),Pa,1000.0,0.0
49,16.0,0.0,0.0,4000.0,kPa,SAEpr14 (Pressure),Pa,1000.0,0.0
50,0.5,0.0,0.0,32127.5,kPa,SAEpr06 (Pressure),Pa,1000.0,0.0
51,0.00390625,0.0,0.0,250.996,MPa,SAEpr09 (Pressure),Pa,1000000.0,0.0
52,0.0078125,-250.0,-250.0,251.99,kPa,SAEpr01 (Pressure),Pa,1000.0,0.0
53,2.0,0.0,0.0,500.0,kPa,SAEpr07 (Pressure),Pa,1000.0,0.0
54,0.5,0.0,0.0,125.0,kPa,SAEpr05 (Pressure),Pa,1000.0,0.0
