valtable_id,definition,description,vss_type,vss_labels
BOOL,0:FALSE;1:TRUE;2:ERR;3:NA,Value table for BOOL,boolean,FALSE|TRUE
PWRDNCMD,0:NR;1:NORMAL_POWER_DOWN;2:EMERGENCY_POWER_DOWN;3:NA,Value table for PWRDNCMD,enum,NORMAL_POWER_DOWN|EMERGENCY_POWER_DOWN
OFFON,0:OFF;1:ON;2:ERR;3:NA,Value table for OFFON,boolean,OFF|ON
NONEOFFON,0:NONE;1:OFF;2:ON;3:NA,Value table for NONEOFFON,enum,OFF|ON
MACHINESTATUS,0:KEY_OFF;1:KEY_ON;2:KEY_OFF_CHARGING;3:NA,Value table for MACHINESTATUS,enum,KEY_OFF|KEY_ON|KEY_OFF_CHARGING
CHARGINGSTATUS,0:CHARGING;1:CHARGING_PORT_WARNING;2:CHARGING_GUN_WARNING;3:AC_VOLTAGE_ABOVE_NORMAL;4:AC_VOLTAGE_BELOW_NORMAL;5:EVSE_SIGNAL_WARNING,Value table for CHARGINGSTATUS,enum,CHARGING|CHARGING_PORT_WARNING|CHARGING_GUN_WARNING|AC_VOLTAGE_ABOVE_NORMAL|AC_VOLTAGE_BELOW_NORMAL|EVSE_SIGNAL_WARNING
WRNLAMP,0:OFF;1:ON;2:BLINKING;3:SLOW_BLINKING,Value table for WRNLAMP,enum,OFF|ON|BLINKING|SLOW_BLINKING
WRNLAMPTXT,0:OFF;1:ON_TEXT1;2:BLINKING_TEXT1;3:SLOW_BLINKING_TEXT1;4:ND1;5:ON_TEXT3;6:BLINKING_TEXT3;7:SLOW_BLINKING_TEXT3;8:ND2;9:ON_TEXT2;10:BLINKING_TEXT2;11:SLOW_BLINKING_TEXT2;12:ND3;13:ON_TEXT4;14:BLINKING_TEXT4;15:SLOW_BLINKING_TEXT4,Value table for WRNLAMPTXT,enum,OFF|ON_TEXT1|BLINKING_TEXT1|SLOW_BLINKING_TEXT1|ON_TEXT3|BLINKING_TEXT3|SLOW_BLINKING_TEXT3|ON_TEXT2|BLINKING_TEXT2|SLOW_BLINKING_TEXT2|ON_TEXT4|BLINKING_TEXT4|SLOW_BLINKING_TEXT4
ANTDETECT,0:NORMAL;1:REMOVAL;2:SHORTED,Value table for ANTDETECT,enum,NORMAL|REMOVAL|SHORTED
TRVMODECR,0:LOW_SPEED;1:HIGH_SPEED;2:AUTO_SPEED;3:NA,Value table for TRVMODECR,enum,LOW_SPEED|HIGH_SPEED|AUTO_SPEED
